,scopus_id
955,2-s2.0-84892658505
956,2-s2.0-84887421235
957,2-s2.0-84887382720
958,2-s2.0-84887379658
959,2-s2.0-84887323846
960,2-s2.0-84887322680
961,2-s2.0-84887772087
962,2-s2.0-84883380683
963,2-s2.0-84883352295
964,2-s2.0-84881113095
965,2-s2.0-84881109763
966,2-s2.0-84881096219
967,2-s2.0-84881095594
968,2-s2.0-84881090759
969,2-s2.0-84881087407
970,2-s2.0-84880980976
971,2-s2.0-84876424735
972,2-s2.0-84877268532
973,2-s2.0-84875477528
974,2-s2.0-85086682435
975,2-s2.0-85053212727
976,2-s2.0-85053175508
977,2-s2.0-85026228843
978,2-s2.0-85026220197
979,2-s2.0-85026203392
980,2-s2.0-84966539214
981,2-s2.0-84966539131
982,2-s2.0-84926371501
983,2-s2.0-84912105767
984,2-s2.0-84911920481
985,2-s2.0-84911900827
986,2-s2.0-84911866262
987,2-s2.0-84911494793
988,2-s2.0-84911489710
989,2-s2.0-84911484030
990,2-s2.0-84911473659
991,2-s2.0-84908298542
992,2-s2.0-84908176515
993,2-s2.0-84907327595
994,2-s2.0-84902318427
995,2-s2.0-84901293896
996,2-s2.0-84901293080
997,2-s2.0-84888621200
998,2-s2.0-84890295986
999,2-s2.0-84887360997
1000,2-s2.0-84887338345
1001,2-s2.0-84887332990
1002,2-s2.0-84878408598
1003,2-s2.0-84878093240
1004,2-s2.0-84878089984
1005,2-s2.0-84876274818
1006,2-s2.0-84874217528
1007,2-s2.0-84868375668
1008,2-s2.0-84895281021
1009,2-s2.0-84872480621
1010,2-s2.0-84866038825
1011,2-s2.0-84864972570
1012,2-s2.0-84864798443
1013,2-s2.0-84859222312
1014,2-s2.0-84865038442
1015,2-s2.0-84892111736
1016,2-s2.0-84888368580
1017,2-s2.0-84887338989
1018,2-s2.0-84870662527
1019,2-s2.0-84865999949
1020,2-s2.0-84865990452
1021,2-s2.0-84865977925
1022,2-s2.0-84865153567
1023,2-s2.0-84861082372
1024,2-s2.0-84861068506
1025,2-s2.0-84861040650
1026,2-s2.0-84861028412
1027,2-s2.0-84860905011
1028,2-s2.0-84860150921
1029,2-s2.0-84860137951
1030,2-s2.0-84859614060
1031,2-s2.0-84859608155
1032,2-s2.0-84859587180
1033,2-s2.0-84859569617
1034,2-s2.0-84858181810
1035,2-s2.0-81455140729
1036,2-s2.0-81455127451
1037,2-s2.0-80051891551
1038,2-s2.0-80051889800
1039,2-s2.0-80051883011
1040,2-s2.0-80051881772
1041,2-s2.0-80051877846
1042,2-s2.0-80051873705
1043,2-s2.0-80051863013
1044,2-s2.0-79960639798
1045,2-s2.0-79954440451
1046,2-s2.0-85054883943
1047,2-s2.0-85054860700
1048,2-s2.0-85054770050
1049,2-s2.0-85054518707
1050,2-s2.0-85054483380
1051,2-s2.0-84952784534
1052,2-s2.0-84872443381
1053,2-s2.0-84868582313
1054,2-s2.0-84860805852
1055,2-s2.0-78649545953
1056,2-s2.0-78649467344
1057,2-s2.0-84873594242
1058,2-s2.0-84865491656
1059,2-s2.0-79960002086
1060,2-s2.0-79959991379
1061,2-s2.0-79957663862
1062,2-s2.0-79956329474
1063,2-s2.0-79956317120
1064,2-s2.0-79951541824
1065,2-s2.0-79951539533
1066,2-s2.0-79951535894
1067,2-s2.0-79951503942
1068,2-s2.0-79951502000
1069,2-s2.0-79951497942
1070,2-s2.0-79951493719
1071,2-s2.0-79251492710
1072,2-s2.0-78049333341
1073,2-s2.0-77957799262
1074,2-s2.0-77957789651
1075,2-s2.0-77957779918
1076,2-s2.0-77955948477
1077,2-s2.0-77955691552
1078,2-s2.0-77953985316
1079,2-s2.0-77952018381
1080,2-s2.0-77951430866
1081,2-s2.0-84911439216
13,2-s2.0-84892497914
75,2-s2.0-84884262479
376,2-s2.0-84867968143
414,2-s2.0-84865535620
457,2-s2.0-84861701565
682,2-s2.0-79952501995
694,2-s2.0-79952788825
811,2-s2.0-77954018744
889,2-s2.0-84863179145
