,Unnamed: 0,openalex_id,doi,openalex_title,type,publication_date,openalex_publication_year,openalex_volume,issue,first_page,last_page,authors,keywords,abstract,openalex_source_title,source_issn,source_type,cited_by_count,referenced_works,openalex_name_1st_author,uuid,matched,score
1861,1882,https://openalex.org/W3009292063,,atomic layer deposition of two-dimensional metal dichalcogenides,article,2020-04-03,2020,,,,,Miika Mattinen,Deposition,,,,,1,[],Mattinen,,False,
1862,1883,https://openalex.org/W3049063774,,area-selective atomic layer deposition for bottom-up fabrication of nanoelectronics,article,2020-06-02,2020,58,2,32,34,"Adriaan J. M. Mackus, Marc J. M. Merkx, Jun Li",Nanoelectronics,"Ever since Richard Feynman’s lecture on nanotechnology entitled There is plenty of room at the bottom, one of the main challenges in nanoscience has been to develop reliable approaches for bottom-up processing of materials. Despite this vision, the miniaturization of electronics in the past few decades according to Moore’s law relied completely on innovations in top-down processing. In this article, the alternative of using area-selective ALD for bottom-up fabrication is discussed. The approaches that currently exist for achieving area-selective ALD are reviewed, together with their merits and limitations.",,,,1,[],Mackus,,False,
1863,1884,https://openalex.org/W3016669253,,"atomic layer deposition of aluminum phosphate using alme₃, po(ome)₃, and o₂ plasma: film growth and surface reactions",article,2020-01-01,2020,,,,,"N. Hornsveld, W. M. M. Kessels, Mariadriana Creatore","Deposition, Rutherford backscattering spectrometry, Ellipsometry","High purity, uniform, and conformal aluminum phosphate (AlPₓOy) thin films were deposited by atomic layer deposition (ALD) between 25 and 300 °C using supercycles consisting of (i) PO(OMe)₃ dosing combined with O₂ plasma exposure and (ii) AlMe₃ dosing followed by O₂ plasma exposure. In situ spectroscopic ellipsometry and mass spectrometry were applied to demonstrate the ALD self-limiting behavior and to gain insight into the surface reactions during the precursor and coreactant exposures, respectively. Compared to earlier reported AlPₓOy ALD studies using H₂O and O₃ as coreactants or without using coreactans, the use of an oxygen plasma generally leads to higher growth per cycle values and promotes phosphorus incorporation in the film. Specifically, when using a 1:1 POₓ:Al₂O₃ cycle ratio and a substrate temperature of 150 °C, the growth per supercycle is found to be 1.8 A. The [P]:[Al] atomic ratio for this process is approximately 0.5 (∼AlP₀.₅O₂.₉) and can be tailored by changing the ratio between the two cycles or the substrate temperature. In literature reports where the same aluminum precursor was used, the [P]:[Al] atomic ratio was limited to 0.2 or a very high number of phosphorus cycles was needed in order to increase the phosphorus content. Instead, we demonstrate deposition of films with a composition close to AlPO₄ by using a 2:1 POₓ:Al₂O₃ cycle ratio. The limited incorporation of P in the film is suspected to derive from the steric hindrance of the relatively bulky phosphorus precursor. Mass spectrometry suggests that the PO(OMe)₃ precursor chemisorbs on the surface without the release of reaction products into the gas phase, whereas Al(Me)₃ already undergoes methyl ligand abstraction upon chemisorption.",the journal of physical chemistry,"['0022-3654', '1541-5740']",journal,1,[],Hornsveld,,False,
1864,1885,https://openalex.org/W3189083732,,influence of o(³p)/o₂ flux on the atomic layer deposition of b₂o₃ using trimethyl borate at room temperature,article,2020-01-01,2020,,,,,"Aparna Pilli, Veronica Lee, Jessica C. Jones, Natasha Chugh, Jincheng Du, Frank L. Pasquale, Adrien R. Lavoie, Jeffry A. Kelber","Reactivity, Deposition, Hydrogen atom abstraction","Oxygen plasma is crucial to many atomic layer deposition (ALD) processes, and O(³P) radicals play a significant role in terms of reactivity and surface modification. In situ X-ray photoelectron spectroscopy (XPS), residual gas analysis mass spectrometry (RGA-MS), and ab initio molecular dynamics (AIMD) simulations were used to study the free-radical-assisted ALD of boron oxide (B₂O₃) films on Si(100) using trimethyl borate [B(OCH₃)₃] and mixed O(³P)/O₂ effluents at room temperature at varying levels of O(³P)/O₂ flux to the surface. Under these conditions, no reaction with pure O₂ was observed. The XPS results show that at low O(³P)/O₂ flux, a complete removal of alkyl ligands is observed and C-free B₂O₃ is achieved, with CO₂ and H₂O as the main reaction products. At higher O(³P)/O₂ fluxes, the formation of a stable oxidized C surface layer is observed with some C incorporation into the growing B₂O₃ film. In both flux regimes, the B₂O₃ film thickness increased linearly with the number of cycles, consistent with an ALD process. AIMD simulations of O(³P) collisions with B(OCH₃)₃ indicate a multistep ligand removal mechanism initiated by hydrogen abstraction at a threshold O(³P) energy of ∼0.1 eV, consistent with RGA-MS results. In contrast, C oxidation and incorporation in the high-flux regime result from O₂ termination of the O(³P)-induced C radical sites. This work demonstrates that the purity of B₂O₃ films, efficiency of ligand removal, and surface reaction products can be flux-dependent.",the journal of physical chemistry,"['0022-3654', '1541-5740']",journal,1,[],Pilli,,False,
1865,1886,https://openalex.org/W3191052963,,processing of intrinsic microporous polymer for protective textiles and molecular/atomic layer deposition for organic and hybrid material synthesis.,article,2021-07-02,2021,,,,,Siyao Wang,Deposition,,,,,1,"['https://openalex.org/W2973023005', 'https://openalex.org/W3037814801']",Wang,,False,
1866,1888,https://openalex.org/W4402038560,,atomic layer deposition with passivation treatment,article,2023-12-05,2023,,,,,"Friedrich Prinz, Shicheng Xu, Timothy S. English, J. Provine, Dickson Thian, Jan Torgersen","Passivation, Deposition",,osti oai (u.s. department of energy office of scientific and technical information),,repository,0,[],Prinz,,False,
1867,1889,https://openalex.org/W4403382471,,the triumphs and tragedies of spatial atomic layer deposition,article,2021-11-29,2021,,,,,David Muñoz‐Rojas,Deposition,,,,,0,[],Muñoz‐Rojas,,False,
1868,1890,https://openalex.org/W3112569857,,atomic layer deposition in fabrication of micro- and nanodevices,article,2020-01-01,2020,,,,,Ville Rontu,Deposition,,,,,0,[],Rontu,,False,
1869,1891,https://openalex.org/W3111936575,,atomic layer deposition towards novel device applications,article,2020-01-01,2020,,,,,Giovanni Marín,"Deposition, Hybrid material","Atomic layer deposition (ALD) is a gas-phase thin film deposition technique that has gained increasing popularity in the last 20 years because of its unique properties. It is based on self-limiting chemical reactions that ensure the layer-by-layer growth of the film. This unique growth mode is fundamental to the fine control of both film thickness and structure. The film grows conformally on the substrate, following the morphology of the surface. ALD can grow films at low temperature, making possible the use of temperature-sensitive substrates. A slightly modified technique called molecular layer deposition (MLD) utilises organic precur-sors to deposit fully organic films. Hybrid inorganic-organic materials can be deposited with a combination of ALD and MLD. The aim of this research was to utilise the unique characteris-tics of ALD/MLD in two different applications, thermoelectrics and barrier coatings. 
Thermoelectric devices were fabricated on flexible plastic, glass, and textile. Testing of the barrier properties of ALD-grown films were carried out on 3D printed plastic substrates. The conformality of the deposition is fundamental in both applications. The films needed to coat the single fibres within the textile substrate as well as the porous surface of the 3D printed plastic. The low deposition temperature made it possible to use cotton as well as various plas-tics as substrates. The fine control over the film thickness and structure, enabled the deposi-tion of inorganic-organic superlattice hybrid materials. Zinc oxide (ZnO) and hydroquinone (HQ) were chosen for the fabrication of the thermoelectric devices while aluminium oxide (AlOx) was the chosen barrier material. Hydroquinone was utilised as monomolecular layers within the ZnO matrix to lower thermal conductivity and enhance the thermoelectric perfor-mance. 
The ALD-deposited AlOx coating was shown to successfully lower the vacuum degassing of the 3D printed plastics compared to commercial sealants. These superior performances open the way to inexpensive and personalised, 3D printed, laboratory tools coated with ALD which pro-vide degassing protection to the vacuum environment. 
Thermoelectric devices were fabricated on several substrates (silicon, flexible plastic, flexible glass, and textile) using the n-type ZnO as thermoelectric. On textile, the device was made with both n-type (ZnO or ZnO-HQ) and p-type (poly(3,4-ethylenedioxythiophene) - PEDOT) components to improve performance. The ZnO-HQ superlattice outperformed the bare ZnO films, proving that the hybrid approach is worth pursuing to reduce thermal conductivity. The best device fabricated on textile, produced an open-circuit voltage around 150 mV at a ΔT of 20 °C with a power output in the order of pW. These numbers, although low, are paving the way for future application of the ALD/MLD in the fabrication of thermoelectric devices inte-grated into smart clothing.",,,,0,[],Marín,,False,
1870,1892,https://openalex.org/W4297900815,,atomic layer deposition of fluoride thin films,article,2021-09-07,2021,,,,,"Jeffrey W. Elam, Anil U. Mane, Sr. Gebhard","Deposition, Layer by layer, Thin layers",,osti oai (u.s. department of energy office of scientific and technical information),,repository,0,[],Elam,,False,
